go_form,go_meaning,go_source,so_form,so_meaning,so_source,re_form,re_meaning,re_source,gu_form,gu_meaning,gu_source,kh_form,kh_meaning,kh_source,ju_form,ju_meaning,ju_source,gt_form,gt_meaning,gt_source,sa_form,sa_meaning,sa_source,mu_form,mu_meaning,mu_source,ho_form,ho_meaning,ho_source,kw_form,kw_meaning,kw_source,ko_form,ko_meaning,ko_source,pmunda,gloss,ID,pinnow,mkcd_no,mkcd_form,mkcd_meaning,mkcd_attested,pP_sid_2015_no,pP_sid2015_form,pP_sid2015_meaning,pWBah_SidJ2003_no,pWBah_SidJ2003_form,pWBah_SidJ2003_meaning,pSBah_Sid2000_no,pSBah_Sid2000_form,pSBah_Sid2000_meaning,pKat_sid2005_no,pKat_sid2005_form,pKat_sid2005_meaning,pM_Zide_ref,pM_Zide_form,pM_Zide_meaning,comment,swadesh_1971
baˀb,head,FR,bo:ˀb,,RSED.p60,bob,,BDBH.2007,bob,,GZ63.50,bokoˀb,,PKED.p24,bokob,,PJDW.p169,bhaʔ,,PGEG.p13,bo̠ho̠k',,CDES.p90,bo,,BMED.p24,bo:ʔ,,DHED.p40,boʔ,,BAHL.p113,—,,—,*bok₂oˀp,head,#A0011,V206,361,*[b]uuk,head,South Bahnaric; Aslian,360,*kiŋ,head,812,*tuus,head,,,,,,,,,,"The reflexes of V₁ in *b(oKʰ)Vˀp ‘head’ (#0011) – Kharia /o/, Juang /o/,Santali /o̠/ – are too incomplete to assign the set to any correspondence set, unequivocally. #0011-2 is consistent with *o₁ and *o₂.",38
maˀd,eye,FR,mo:ˀd/mad,,RSED.p168,moʔ,,BDBH.220,moʔ,,AG08.p642,moˀɖ,,PKED.p195,ɛmɔɖ,,PJDW.p191,muaʔ,,PGEG.p34,mẽ̠t',,CDES.p67,med',,BMED.p117,meɖ,,DHED.p228,meɖ,,BAHL.p120,med,,ZKPM.p48,*məˀt,eye,#A0012,V250,1045,*mat,eye,Mon; Katuic; Bahnaric; Khmuic; Khasi; Viet-Muong; Aslian; Nicobaric,583,*ˀŋaːj,eye,277,*mat,eye,,,,,,,,,,,40
gaˀd,to cut,FR,gad,,RSED.p93,goʔ,,BDBH.1018,goʔ,,AG08.p669,gaˀɖ,,PKED.p60,,,,gwaʔ,,PGEG.p21,ge̠t',,CDES.p44,ged',,EMV5.1411,geɖ,,DHED.p111,geɖ,,BAHL.p46,geʈ,,NKEV.p306,*gəˀt,cut (v),#A0013,V334,972,*sguut; *[s]gət; *sgat,to be cut short; to cut,Mon; Khasi Viet-Muong / Khmuic; Aslian / Khmer; South Bahnaric,104,*cɛt,cut up,504,*ciat,cut through,,,,,,,,,,Kharia gaˀɖ ‘to reap’ seems to be not widely used or even internally reconstructed from ganaˀɖ ‘sickle’. The vowel /a/ differs from Kharia /o/ in #0012 *məˀt ‘eye’.,
alaŋ,thatch,FR,əlaŋ,,RSED.p158,lɔŋ,,BDBH.2437,uloŋ,,AG08.p644,oloŋ,,PKED.p214,oloŋ,,PJDW.p254,nlo,,PGEG.p36,—,,—,—,,—,—,,—,—,,—,—,,—,*v₉laŋ,thatch,#A0014,V270,749,*[p]laŋ; *[p]laiŋ,thatching-grass,"Khmer; Katuic; Palaungic; Khasi / Khmuic, Viet-Muong",455,*plaŋ,thatching-grass,,,,,,,,,,,,,"Incomplete set, due to absence of V₁ in Remo and Gtaʔ and the absence of this etymon in North Munda. The reflexes suggest a central or bac vowel. MKCD: 749 *[p]laŋ/*[p]laiŋ would favour epenthetic *ə. (The loss of initial *p seems from the current understanding irregular.)",
zum,to eat,FR,ɟom,,RSED.p128,sum,,BDBH.2667,som,,GZ63.212,jom,,HLKS.K274,ɟim,,PJDW.p212,coŋ,,PGEG.p15,jo̠m,,CDES.p60,jom,,BMED.p84,jom,,HOGV.p156,jom,,BAHL.p63,jom,,NKEV.p313,*ɟv₁₀m,eat (v),#A0015,V385,1327,*cuum; *cuəm; *cəm; (*cim cim >) *ncim; *ciəm (& *nciəm?); *caim ,to eat; to feed,Palaungic / Palaungic / South Bahnaric; Central Aslian / Mon; Khmer; South Bahnaric / Bahnaric / Kuy,—,—,—,,,,,,,,,,,,,,55
bṵl,to be drunk,FR,buʔul,,sora.txt.18922,bu,,BDBH.1900,bil,,AG08.p672,bul,,PKED.p39,buli,,PJDW.p174,busaʔ,,PGEG.p13,bul,,CDES.p58,bul,,BMED.p25,bul,,HOGV.p155,bubul,,BAHL.p108,bubul,,NKEV.p70,*bul,drunk,#A0016,V105,1765,*ɓul; *ɓuul,drunk,Khmer; Bahnaric / Mon; Katuic; Khmuic; Central & South Aslian,315,*ˀjɤc,drunk,,,,,,,,,,,,,,
bulu,thigh,FR,bulu:,,RSED.p64,buli/bili,,BDBH.1949/1890,bili,,DSGU.2681,bhulu,,PKED.p32,bulu,,PJDW.p174,bulu,,PGEG.p13,bulu,,CDES.p199,bulu,,BMED.p25,bulu,,HOGV.p183,bu:l,,BAHL.p109,bulu,,NKEV.p295,*buluuˀ,thigh,#A0017,V145,223,*bluuʔ,thigh,Khmer; Bahnaric; Katuic; Khmuic; Palaungic; Central Aslian; Nicobaric,414,*bluːʔ,thigh,,,,,,,,,,,,,,
—,—,—,—,—,—,bulu,,BDBH.1591,bulu,,AG08.p644,belom,,PKED.p19,bilim,,PJDW.p167,ble,,PGEG.p13,bele,,CDES.p161,bili,,BMED.p23,bili,,HOGV.p156,bhi:li:,,BAHL.p115,bili,,NKEV.p293,*bv₁₃lv₁₁,ripe,#A0018,V232,—,—,—,—,226,*kɗuːm,ripe,,,,,,,,,,,,,"The relation to etyma outside of the Munda branch are uncertain. There are two good candidates in MKCD: MKCD 2080 *bl[ɔ]h ‘finished’; MKCD 1878 *lʔas ‘ripe’. In all likelihood, V₁ (#0018-2) ultimately a reflex of an epenthetic schwa, _\*bᵊlv₍₁₁₎_.",
—,—,—,—,—,—,buro,,BDBH.1937,burol,,GZ65.74,borol,,PKED.p25,boron,,PJDW.p171,brwa,,PGEG.p14,be̠re̠l,,CDES.p211,berel,,BMED.p21,berel,,HOGV.p185,berel,,BAHL.p111,boboɽ,,NKEV.p294,*bv₁₄rəl,raw,#A0019,V253,—,—,—,—,—,—,—,,,,,,,,,,,,,"V₂ (#0019-4) *ə₁ is compatible with *ə₁ v1, v3, and v4.",
areŋ,stone,FR,areŋ,,RSED.p39,—,—,—,—,—,—,soreŋ,,PKED.p187,—,—,—,—,,—,—,,—,sereŋ,,BMED.p172,sereɲ,,HOGV.p175,—,,—,—,,—,*səreŋ,stone,#A0020,V183,B42?,*[ ]rɁa[a]ŋ,rock,Palaungic,11,*rəʔaːŋ,stone,,,,,,,,,,,,,,
aŋal,firewood,FR,aŋəl,,RSED.p37,suŋo,,BDBH.2638,suõl,,GZ63.216,soŋgol,,PKED.p186,sɛŋon,,PJDW.p276,sua,,PGEG.p43,se̠ŋge̠l,,CDES.p73,seŋgel,,BMED.p172,seŋgel,,HOGV.p158,seNgel,,BAHL.p137,—,,—,*sv₁₄ŋəl,fuel,#A0021,V252,1723,*j[n]ŋəl,fire,Palaungic,565,*ŋal,fire,,,,,,,,,,,,,"If Gtaʔ /sua/ is to be interpreted as a /ua/ parallel to /ua/~/wa/ in set #0019, V₂ of *sVŋVl ‘fuel’ belongs to the set *ə₁ above only deviating reflex is Sora /ə/. – sua/su.a < *suŋal < *sVŋVl with l-loss and intervocalic ŋ-loss or sua < *sŋual < *sVŋVl with  intervocalic ŋ-loss, V₁loss, and l-loss.",
bil,,FR,bel/bɪ:l,,RSED.p56/58,be-sak',,BDBH.1982,be-sag,,Z1965.50,bel,,PKED.p18,bɛn,,PJDW.p166,beʔ,,PGEG.p11,bel,,CDES.p184,bil,,BMED.p24,bil,,HOGV.p179,bel,,BAHL.p111,(bi)bil,,NKEV.p293,*bel,spread (vt),#A0022,V221,1761,*b[e]l (& *beel?),to spread a mat,Mon; South Bahnaric; Palaungic; Central Aslian,450,*plaːs,spread (mat),,,,,,,,,,,,,"Gtaʔ /ʔ/ is unexpected. However, DSGT#1651 (Chatterji) has bE ‘to unroll’ without a glottal stop. This form is probably best read as bɛ that is PGEG /be/, as opposed to DSGT#1691 bEe ‘to send’ which corresponds to PGEG /bæ/ ‘to send’ (from pre-Gtaʔ *baɲ).",
bal,,FR,ba:l,,RSED.p49,—,—,—,bal,,GZ65.43,—,—,—,—,—,—,ba,,PGEG.p9,bal,,BSD1.p184,bal,,BMED.p18,bal,,HOGV.p151,ba:l,,BAHL.p105,ba:l,,NKEV.p292,*bal,burn (v),#A0023,,—,—,—,—,378,*laːs,burn (tr.),,,,,,,,,,,,,"A connection to any of the etyma attested in MKCD remains unclear. The best candidate is MKCD 1671 *waar, *wər. However, neither pAA *w nor pAA *r match the reconstructed pM *b and *l. ",
tol,,FR,tol,,RSED.p292,tu,,BDBH.1398,tol,,AG08.647,tol,,PKED.p288,tor,,PJDW.p287,tu,,PGEG.p46,to̠l,,CDES.p201,tol,,BMED.p186,tol,,HOGV.p183,tol,,BAHL.p84,ʈol,,NKEV.p343,*tol,tie (v),#A0024,V191,—,—,—,—,832,*tuk,tie,,,,,,,,,,,,,,
riˀd,,FR,rid,,RSED.p233,riʔ,,BDBH.2276,riɽ,,GZ63.15,riɖ,,PKED.p169,riɖ,,PJDW.p266,rig,,PGEG.p4,rit',,CDES.p86,ri'd,,BMED.p159,riɖ,,DHED.p288,ri:ɖ,,BAHL.p124,–,,—,*riˀt,grind (v),#A0025,V76,1056,*riit; *riət,to rotate; go round; to grind,Katuic; Palaungic / Mon; Palaungic; Khasi,704,*griːt,grind,,,,,,,,,,,,,,
asu,,FR,asu:/əsu:,,RSED.p42,siʔ,,BDBH.2610,isi,,GGEG.p93,kosu/kusu,,PKED.p107,kasu,,PJDW.p220,aʔsu,,PGEG.p4,haso,,CDES.p135,ha:su,,BMED.p67,hasu,,HOGV.p147,hasu:,,BAHL.p145,kaSu,,NKEV.p315,*k₂v₄su,fever/pain,#A0026,V247,44,*[c]uuʔ,to be sick,Khmuic; Palaungic,—,—,—,,,,,,,,,,,,,"Gtaʔ aʔsu should have initial /h/ (so maybe hasu), the presence of /ʔ/ is unexplained and as is the lack of initial /h/. The two issues may be connected. Palaungic: Sidwell (2015) 126 *cuːʔ ‘sick, pain’ (= MKCD 44.A): mentions Danaw kătsu¹",
tiŋ,,FR,tuɲ,,RSED.p299,tiŋ,,BDBH.1368,tiŋ,,GZ63.190,tuɲ,,PKED.p196,tuɲ,,PJDW.p288,ʈwiŋ,,PGEG.p46,tuɲ,,CDES.p173,tuiŋ,,BMED.p180,tuŋ,,HOGV.p177,,,,ʈuɲj,,NKEV.p343,*tuɲ,shoot (v),#A0027,V107,896a?,,,,622,*pɤɲ,shoot,,,,,,,,,,,,,"MKCD 896a *t₁iɲ; *t₁iiɲ; *t₁iəɲ; *t₁əɲ ‘to pluck, twang’ could be related. Its meaning is generally ‘to pluck a (stringed) instrument’ which is rather close to ‘to shoot with bow and arrow.’",
—,—,—,kənsi:m,,RSED.p131,gisiŋ,,BDBH.856,gisiŋ,,AG08.p651,siŋkoy,,PKED.p183,sɛŋkɔe,,PJDW.p275,gsæŋ,,PGEG.p23,sim,,CDES.p30,sim,,BMED.p173,sim,,HOGV.p151,si:m,,BAHL.p135,—,,—,*sim,chicken,#A0028,V315,1324,*cim; *ciim; *ciəm; *caim; *cum,bird,Bahnaric; ?Central & South Aslian / South Bahnaric; Palaungic; Viet-Muong; Mon; North Bahnaric; Central Aslian / Kuy / South Bahnaric; Nicobaric,121,*ciːm,bird,,,,,,,,,,,,,,
zoˀd,,FR,ɟoˀd,,RSED.p126,susuʔ,,BDBH.2698,sosod,,GZ65.374,joˀɖ,,PKED.p87,—,—,—,cuʔ,,PGEG.p15,jo̠t',,CDES.p221,jod',,BMED.p84,joɖ,,HOGV.p88,joɖ,,BAHL.p62,o:jo,,NKEV.p329,*ɟoˀt,wipe (v),#A0029,V190,994,*[ ]jut; *[ ]juut,to wipe,Mon / Khmer; Katuic; South Bahnaric; Khasi; ?North Aslian,155,*ɟuːt,wipe,,,,,,,,,,,,,,
zoʔ,,FR,ɟo:ʔ,,RSED.p125,suʔ,,BDBH.2701,—,—,—,—,—,—,—,—,—,cu,,PGEG.p15,jo̠,,CDES.p80,jo,,BMED.p83,jo:,,DHED.p83,joʔ,,BAHL.p63,jo:,,NKEV.p313,*ɟo(o)ˀ,fruit / to bear fruit (v),#A0030,V188,—,—,—,—,462,*pliːʔ,fruit,,,,,,,,,,,,,,
zoʔ,,FR,ɟo:,,RSED.p126,suk',,BDBH.2624,sog,,AG08.p650,joʔ,,PKED.p87,ɟɛnɔg,,PJDW.p211,coʔ,,PGEG.p15,jo̠k',,CDES.p194,joʔ,,BMED.p85,joʔ,,DHED.p167,—,,—,ju-khɽi,,NKEV.p313,*ɟoˀk,sweep (v),#A0031,,—,—,—,—,630,*piːs,sweep,,,,,,,,,,,,,,
aril,,FR,are:l,,RSED.p39,are,,BDBH.43,arel,,HLKS.V225,arel,,PKED.p7,aɭɛn,,PJDW.p158,hare,,PGEG.p24,arel,,CDES.p88,a:ɽil,,BMED.p10,aril,,HOGV.p161,a:ril,,BAHL.p10,—,,—,*arel,hail/pebble,#A0032,V225,1791,*pril; *priəl; by metathesis *pliir; *pliər,hail,Khmer; Palaungic / North Bahnaric / Plaungic / Khasi / Mon / Bahnaric Khmuic,734,*priɛl,hail,,,,,,,,,,,,,"The reflexes of #0032-1 strongly indicate proto-Munda *a. From our current understanding, this is incompatible with the MKCD forms *pril and *priəl which suggest *ᵊ.",
uɖuˀb,,FR,orub,,RSED.p195,minɖip',,BDBH.2087,noNdib,,GZ65.260,iɖiˀb,,PKED.p79,—,—,—,minɖig,,PGEG.p33,ayup',,CDES.p128,a:yub,,BMED.p14,ayub,,HOGV.p157,ayub,,BAHL.p3,ayup,,NKEV.p290,*juˀp,night,#A0033,V280,1268,*yup; *y[uu]p; *yəp,dark,Khasi; North & Central Aslian; ?Nicobaric / North Bahnaric / Khmer; Bahnaric,17,*ʔap,dark,,,,,,,,,,,,,,
taruˀb,,FR,tarub,,RSED.p283,tirib,,BDBH.1387,tirib,,GZ65.416,tiriˀb,,PKED.p287,—,—,—,trig,,PGEG.p46,rimil,,CDES.p33,rimil,,BMED.p160,rimil,,HOGV.p152,liNbir,,BAHL.p127,—,,—,*tv₁₅ruˀp,cloud,#A0034,V285a,1255,*[k]t₁əəp,cloud; precipitation,Mon; Palaungic,52,*ʔuːp,cloud; vapor,,,,,,,,,,,,,"Kherwarian rimil cannot be directly related to *tVru₅ˀp. If /rim/ in Santali, Mundari, and Ho is related to /ri(ˀ)b/ in Remo, Gutob, and Kharia, the two etyma might be ultimately related. However, they cannot be derived from a common proto-Munda form. Korwa liNbir is probably not connected to either. If /rim/ in Santali, Munda, and Ho is parallel to /ri(ˀ)b/ in Remo, Gutob, and Kharia, *tVru₅ˀp ‘cloud’ belongs quite clearly to *bVˀt ‘sow (v)’, else it could belong to *v[d/j]u₅ˀp ‘night’ or *bVˀt ‘sow (v)’.",
olaʔ,leave,FR,o:la:,,RSED.p192,ulak',,BDBH.169,olag,,AG08.p633,ulaʔ,,PKED.p298,olag,,PJDW.p254,uliaʔ,,PGEG.p124,palha,,CDES.p111,pa:lha:o,,BMED.p142,pala,,DHED.p259,(sakam),,BAHL.pdfp129,pa:la,,NKEV.p331,*v₁laaˀ,leaf,#A0035,V50,230,*slaʔ,leaf,Mon; Khmer; Katuic; Bahnaric; Khmuic; Palaungic; Khasi; Viet-Muong; Aslian,421,*ʰlaʔ,leaf,,,,,,,,,,,,,"If, as assumed here, the Southern forms with initial vowel and the forms of North Munda with an inital p belong to distinct etyma, the set is very close to *o₁. Hypothesis: V₁ *u in the context of V₂*a? Alternatively, V₁ *o in the context of V₂ *a? The reflexes of *ˀk in this set are irregular, if we assume that the North Munda reflexes and the reflexes of the other languages represent the same etymon. However, the loss of initial *p outside of North Munda is irregular as is the correspondence set for V₁, suggesting two separate etymons — *xlaˀk and North Munda \*pxlx — both with (more) regular correspondences. The pala forms are probably Indo-Aryan (Turner 7969)",25
usal,,FR,usal,,RSED.p308,usa,,BDBH.173,isa:l,,HLKS.V149,usal,,PKED.p300,chalo,,PJDW.p180,ugsa,,PGEG.p6,chal,,CDES.p176,,,,,,,,,,sa:li,,NKEV.p337,*usal,skin,#A0036,V149,—,—,—,—,754,*saːk,skin,,,,,,,,,,,,,"The irregular ∅ reflexes are probably due to a second etymon in Juang, Santali and Korku. This would also account for the irregular palatals in Juang and Santali. Juang and Santali /ch/ are unexpected and the lack of the initial vowel in Juang, Santali, and Korku suggest two distinct etyma.",
liɖa,to laugh,FR,—,—,—,(ɖoɖo),,BDBH.1283,luɖo,,GZ65.228,laɖa,,PKED.p202,lara,,PJDW.p236,lwaʔ,,PGEG.p32,lanɖa,,CDES.p110,la:nɖa:,,BMED.p102,landa,,HOGV.p166,la:Nd,,BAHL.p127,lanɖa,,NKEV.p322,*lv₁₈ᴺdv₂₀,laugh (v),#A0037,V302,—,—,—,—,588,*kəɲaːs,laugh,,,,,,,,,,,,,,
amaŋ,,FR,ammaŋ,,RSED.p31,gutumoŋ,,BDBH.885,sumoŋ/amuŋ,,GZ65.21,somoŋ/somo/sumaŋ,,PKED.p185,ɛmɔŋ,,PJDW.p191,ssæ,,PGEG.p44,samaŋ,,CDES.p79,sa:ma:ŋ,,BMED.p167,sanamaŋ,,HOGV.p159,samaŋ,,BAHL.pdfp130,samma,,NKEV.p336,*sv₂maŋ,forehead/front,#A0038,V269,—,—,—,—,197,*kəɗah,forehead,,,,,,,,,,,,,"Gtaʔ /æ/ is treated as a reflex of V₁ here.  The Remo form gutumoŋ is irregular and seems to be lacking the initial syllable *sx. Gutob amuŋ and Juang ɛmɔŋ are also unexpected. Both instances might represent derivational changes and not a phonological loss of *s. This leaves the possibility that the lack of /s/ in Gorum and Sora is also not the regular s-loss, but the result of some morphological process. Korku ∅ is irregular in this set and unexplained. The reflexes in V₁ position are irregular and the material preceding *maŋ is structurally divers. Especially, Remo gutumoŋ (gutu-), and the lack of initial /s/ in Gutob amuŋ and Juang ɛmɔŋ cannot be explained in the ssame way as the s-loss in Sora and Gorum can be explained. Correspondence between Juang /ɛ/ and Gtaʔ /æ/ is also attested in the *i₂ sets of reflexes, but the reflexes in other languages are decidedly distinct.",
butoŋ,to fear,FR,bato:ŋ,,RSED.p55,butuŋ,,BDBH.1922,butoŋ,,GZ65.76,bɔtɔŋ (P),,HLKS.V261,betɔŋan,,JLIC.v239,bʈoʔ,,PGEG.p14,—,,—,botoŋ,,BMED.p25,—,,—,(bor),,BAHL.p112,—,,—,*bv₁₆toŋ,fear,#A0039,V261,552,*ʔt₁uuŋ,afraid; to fear,Kuy; Khasi; Aslian,296,*jɔːʔ,afraid,,,,,,,,,,,,,"Gtaʔ /ʔ/ is irregular, but probably a secondary addition to the CVCV word after the loss of proto-Munda _*ŋ_. The connection to MKCD 552 _*ʔt₁uuŋ_ (already made by Shorto) is questionable. MKCD 552 _*ʔt₁uuŋ_ is a close – but not perfect – match. Intial /b/ is attested in all languages. Shorto’s initial cluster _*ʔt₁_ is not easily connected to any proto-Munda _*bVt_.",
ɖeɲ,,FR,diɲ,,RSED.p80,ɖoNĭ,,BDBH.1302,ɖoɲ,,AG08.p664,ɖeɲ,,PKED.p63,ɖɛɲ,,PJDW.p187,ɖue,,PGEG.p17,—,,—,—,,—,—,,—,—,,—,—,,—,*ɖv₂₁ɲ,cook (v),#A0040,V342,583,*kɗaŋ,to cook,South Bahnaric; Palaungic,207,*ɗɤŋ,cook,,,,,,,,,,,,,,
